Name,Description,styleUrl,NameEN,Power,ChargeCoreDescription,Hours,Dealership,Address,Latitude,Longitude,Provider,Coordinates
Big C สมุทรปราการ,"Name-EN: BigC Samut Prakan<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: เลขที่ 498/1 ถนน สุขุมวิท ตำบลปากน้ำ อำเภอเมืองสมุทรปราการ จังหวัด สมุทรปราการ 10270<br>Latitude: 13.584436<br>Longitude: 100.607163<br>Provider: PTT",#icon-1899-DB4436-labelson,BigC Samut Prakan,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,เลขที่ 498/1 ถนน สุขุมวิท ตำบลปากน้ำ อำเภอเมืองสมุทรปราการ จังหวัด สมุทรปราการ 10270,13.584436,100.607163,PTT,"
            100.607163,13.584436,0
          "
ปตท บจ.เอส.วาย.ที.พี.กรุ๊ป,Name-EN: PTT S.Y.T.P Group<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2 (1000V 200A)<br>Address: ถ.กาญจนาภิเษก ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140<br>Latitude: 13.856817<br>Longitude: 100.411026<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT S.Y.T.P Group,120 kW,ChargeCore NKR: 2x CCS2 (1000V 200A),,,ถ.กาญจนาภิเษก ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140,13.856817,100.411026,PTT,"
            100.411026,13.856817,0
          "
ปตท บจ.ธนโชติชัยการปิโตรเลียม,"Name-EN: PTT Thanachotchai Petroleum<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 111/9 ม.1 ต.วังมะนาว อ.ปากท่อ จ.ราชบุรี 70140<br>Latitude: 13.34159376<br>Longitude: 99.84017122<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Thanachotchai Petroleum,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,111/9 ม.1 ต.วังมะนาว อ.ปากท่อ จ.ราชบุรี 70140,13.34159376,99.84017122,PTT,"
            99.84017122,13.34159376,0
          "
ปตท บจ.สุราษฎร์ พี.เอ็น.ออยล์,"Name-EN: PTT Surat P.N. Oil Co., Ltd<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 139 หมู่ 2 ตำบลเขานิพันธ์ อำเภอเวียงสระ สุราษฎร์ธานี 84190<br>Latitude: 8.585652<br>Longitude: 99.351859<br>Provider: PTT",#icon-1899-DB4436-labelson,"PTT Surat P.N. Oil Co., Ltd",120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,139 หมู่ 2 ตำบลเขานิพันธ์ อำเภอเวียงสระ สุราษฎร์ธานี 84190,8.585652,99.351859,PTT,"
            99.351859,8.585652,0
          "
ปตท บจ.ธนพล เอ็นเนอจี,"Name-EN: PTT Thanaphon Energy Co., Ltd<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2 (1000V 200A)<br>Address: 1202 ถนนมิตรภาพ ตำบลในเมือง อำเภอเมืองนครราชสีมา นครราชสีมา 30000<br>Latitude: 14.9798498253575<br>Longitude: 102.081431115282<br>Provider: PTT",#icon-1899-DB4436-labelson,"PTT Thanaphon Energy Co., Ltd",120 kW,ChargeCore NKR: 2x CCS2 (1000V 200A),,,1202 ถนนมิตรภาพ ตำบลในเมือง อำเภอเมืองนครราชสีมา นครราชสีมา 30000,14.9798498253575,102.081431115282,PTT,"
            102.081431115282,14.9798498253575,0
          "
ปตท แยกสันติสุข,Name-EN: PTT Santisuk Intersection<br>Power: 120 kW<br>Description: IOCharger IOCAW05C 7kW: Type 2<br>StarCharge Jupiter120: 2x CCS2 (1000V 200A)<br>Address: 52/78 ถ.ปทุมสามโคก ต.บางปรอก อ.เมืองปทุมธานี ปทุมธานี 12000<br>Latitude: 14.0307588<br>Longitude: 100.5313819<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Santisuk Intersection,120 kW,"IOCharger IOCAW05C 7kW: Type 2
StarCharge Jupiter120: 2x CCS2 (1000V 200A)",,,52/78 ถ.ปทุมสามโคก ต.บางปรอก อ.เมืองปทุมธานี ปทุมธานี 12000,14.0307588,100.5313819,PTT,"
            100.5313819,14.0307588,0
          "
ปตท บจ.ฟอร์ บี โลจิสติกส์,Name-EN: PTT For B Logistics<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 192/2 ม.9 ถ.มิตรภาพ ต.บ้านป่า อ.แก่งคอย จ.สระบุรี 18110<br>Latitude: 14.58934<br>Longitude: 101.02317<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT For B Logistics,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),,,192/2 ม.9 ถ.มิตรภาพ ต.บ้านป่า อ.แก่งคอย จ.สระบุรี 18110,14.58934,101.02317,PTT,"
            101.02317,14.58934,0
          "
ปตท เอเชีย ไฮเวย์ กม. 90 ขาออก,Name-EN: PTT RM Asia Highway Km. 90 (OB)<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 68 หมู่ 3 ตำบลบางมัญ อำเภอเมืองสิงห์บุรี จังหวัดสิงห์บุรี 16000<br>Latitude: 14.916216<br>Longitude: 100.402143<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT RM Asia Highway Km. 90 (OB),120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),,,68 หมู่ 3 ตำบลบางมัญ อำเภอเมืองสิงห์บุรี จังหวัดสิงห์บุรี 16000,14.916216,100.402143,PTT,"
            100.402143,14.916216,0
          "
ปตท บจ.มานะชัยบริการ,"Name-EN: PTT Manachai Services<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2, Type 2 (1000V 200A)<br>Address: 30/7 ม.4 ถ.เพชรเกษม ต.ท่าตำหนัก อ.นครชัยศรี นครปฐม 73120<br>Latitude: 13.78035797<br>Longitude: 100.1759209<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Manachai Services,120 kW,"ChargeCore NKR-ADC: 2x CCS2, Type 2 (1000V 200A)",,,30/7 ม.4 ถ.เพชรเกษม ต.ท่าตำหนัก อ.นครชัยศรี นครปฐม 73120,13.78035797,100.1759209,PTT,"
            100.1759209,13.78035797,0
          "
ปตท บจ.แม่กรณ์ปิโตรเลียม (เมือง),Name-EN: PTT Maekorn Petroleum (Muang)<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 133 ม.13 ถ.พหลโยธิน ต.สันทราย อ.เมืองเชียงราย จ.เชียงราย 57000<br>Latitude: 19.8754666934608<br>Longitude: 99.8292345927384<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Maekorn Petroleum (Muang),120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),,,133 ม.13 ถ.พหลโยธิน ต.สันทราย อ.เมืองเชียงราย จ.เชียงราย 57000,19.8754666934608,99.8292345927384,PTT,"
            99.8292345927384,19.8754666934608,0
          "
ปตท บจ.นันท์ธนารักษ์รุ่งเรืองปิโตรเลียม,Name-EN: PTT Nantanarukrungreaug Petroleum<br>Power: 120 kW<br>Description: StarCharge Jupiter120: 2x CCS2 (1000V 200A)<br>Address: 111/1 ม.3 ถ.สุพรรณบุรี-ชัยนาท ต.ศรีประจันต์ อ.ศรีประจันต์ สุพรรณบุรี 72140<br>Latitude: 14.628449<br>Longitude: 100.150365<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Nantanarukrungreaug Petroleum,120 kW,StarCharge Jupiter120: 2x CCS2 (1000V 200A),,,111/1 ม.3 ถ.สุพรรณบุรี-ชัยนาท ต.ศรีประจันต์ อ.ศรีประจันต์ สุพรรณบุรี 72140,14.628449,100.150365,PTT,"
            100.150365,14.628449,0
          "
สยามบราสเซอรี,Name-EN: Siam Brasserie<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2 (1000V 200A)<br>Address: 3477 ถนนพระราม 9 ถนนกรุงเทพกรีฑา 8 แยก 9 (ติดถนนกรุงเทพ-ชลบุรีสายใหม่) แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250<br>Latitude: 13.7391493168425<br>Longitude: 100.655307666263<br>Provider: PTT,#icon-1899-DB4436-labelson,Siam Brasserie,120 kW,ChargeCore NKR: 2x CCS2 (1000V 200A),,,3477 ถนนพระราม 9 ถนนกรุงเทพกรีฑา 8 แยก 9 (ติดถนนกรุงเทพ-ชลบุรีสายใหม่) แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,13.7391493168425,100.655307666263,PTT,"
            100.655307666263,13.7391493168425,0
          "
ปตท หจก.ชมภูนุชเซอร์วิส,Name-EN: PTT Chomphunuch Service<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 141 ม.2 ต.นาเหนือ อ.อ่าวลึก กระบี่ 81110<br>Latitude: 8.5079739<br>Longitude: 98.6828443<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Chomphunuch Service,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),,,141 ม.2 ต.นาเหนือ อ.อ่าวลึก กระบี่ 81110,8.5079739,98.6828443,PTT,"
            98.6828443,8.5079739,0
          "
ปตท สวัสดิการสำนักงานปลัดกระทรวงกลาโหม(บางนาขาเข้า),Name-EN: PTT Office of The Permanent Secretary for Defence (Bangna-In)<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2 (1000V 200A)<br>Address: 138 ซ.สุขุมวิท 64 แยก 10 แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร 10260<br>Latitude: 13.68625525<br>Longitude: 100.6017244<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Office of The Permanent Secretary for Defence (Bangna-In),120 kW,ChargeCore NKR-ADC: 2x CCS2 (1000V 200A),,,138 ซ.สุขุมวิท 64 แยก 10 แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร 10260,13.68625525,100.6017244,PTT,"
            100.6017244,13.68625525,0
          "
ปตท เมืองนครสวรรค์,Name-EN: PTT Mueang Nakhon Sawan<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2 (1000V 200A)<br>Address: 1/86 ถ.สวรรค์วิถี ต.ปากน้ำโพ อ.เมืองนครสวรรค์ นครสวรรค์ 60000<br>Latitude: 15.70805783<br>Longitude: 100.1428356<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Mueang Nakhon Sawan,120 kW,ChargeCore NKR: 2x CCS2 (1000V 200A),,,1/86 ถ.สวรรค์วิถี ต.ปากน้ำโพ อ.เมืองนครสวรรค์ นครสวรรค์ 60000,15.70805783,100.1428356,PTT,"
            100.1428356,15.70805783,0
          "
ปตท บจ.ทรีเค ออยล์,"Name-EN: PTT Three K Oil<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 55 ม.11 ต.น้ำชุน อ.หล่มสัก จ.เพชรบูรณ์ 67110<br>Latitude: 16.71591899<br>Longitude: 101.1811164<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Three K Oil,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,55 ม.11 ต.น้ำชุน อ.หล่มสัก จ.เพชรบูรณ์ 67110,16.71591899,101.1811164,PTT,"
            101.1811164,16.71591899,0
          "
ปตท ธรรมรัตน์ ปิโตรเลียม,Name-EN: PTT Thamrat Petroleum<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2 (1000V 200A)<br>Address: 8/1 ม.13 ถ.พหลโยธิน ต.นครชุม อ.เมืองกำแพงเพชร กำแพงเพชร 62000<br>Latitude: 16.47066389<br>Longitude: 99.49573143<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Thamrat Petroleum,120 kW,ChargeCore NKR-ADC: 2x CCS2 (1000V 200A),,,8/1 ม.13 ถ.พหลโยธิน ต.นครชุม อ.เมืองกำแพงเพชร กำแพงเพชร 62000,16.47066389,99.49573143,PTT,"
            99.49573143,16.47066389,0
          "
ปตท หจก.พิษณุโลกธีรวัฒน์ (สิงหวัฒน์),Name-EN: PTT Phitsanulok Teerawat (Singhawat)<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 6/15 ถ.สิงหวัฒน์ ต.ในเมือง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000<br>Latitude: 16.824658032091193<br>Longitude: 100.25755160338176<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Phitsanulok Teerawat (Singhawat),120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),,,6/15 ถ.สิงหวัฒน์ ต.ในเมือง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,16.824658032091193,100.25755160338176,PTT,"
            100.257551603382,16.8246580320912,0
          "
ปตท บ้านไผ่,Name-EN: PTT Ban Phai<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2 (1000V 200A)<br>Address: 306 ม.2 ต.หัวหนอง อ.บ้านไผ่ ขอนแก่น 40110<br>Latitude: 16.02262265<br>Longitude: 102.7089972<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Ban Phai,120 kW,ChargeCore NKR-ADC: 2x CCS2 (1000V 200A),,,306 ม.2 ต.หัวหนอง อ.บ้านไผ่ ขอนแก่น 40110,16.02262265,102.7089972,PTT,"
            102.7089972,16.02262265,0
          "
สเตชั่น45@องครักษ์,"Name-EN: Station45@Ongkharak<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 45 หมู่ที่ 9 ตำบลคลองใหญ่ อำเภอองครักษ์ นครนายก 26120<br>Latitude: 14.13915736638<br>Longitude: 100.986765823458<br>Provider: PTT",#icon-1899-DB4436-labelson,Station45@Ongkharak,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,45 หมู่ที่ 9 ตำบลคลองใหญ่ อำเภอองครักษ์ นครนายก 26120,14.13915736638,100.986765823458,PTT,"
            100.986765823458,14.13915736638,0
          "
ปตท บจ.นิยมชัยปิโตรเลียม,Name-EN: PTT Niyomchai Petroleum<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 60/1 ม.1 ต.ชัยนารายณ์ อ.ชัยบาดาล จ.ลพบุรี 15130<br>Latitude: 15.210609<br>Longitude: 101.11989<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Niyomchai Petroleum,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),,,60/1 ม.1 ต.ชัยนารายณ์ อ.ชัยบาดาล จ.ลพบุรี 15130,15.210609,101.11989,PTT,"
            101.11989,15.210609,0
          "
ปตท บจ.กรีน พรีเมี่ยม เซอร์วิส,"Name-EN: PTT Green Premium Service<br>Power: 120 kW<br>Description: StarCharge Jupiter120: 2x CCS2, Type 2 (1000V 200A)<br>Address: 177 หมู่ที่ 3 ต.พิมลราช อ.บางบัวทอง จ.นนทบุรี 11110<br>Latitude: 13.912736<br>Longitude: 100.408915<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Green Premium Service,120 kW,"StarCharge Jupiter120: 2x CCS2, Type 2 (1000V 200A)",,,177 หมู่ที่ 3 ต.พิมลราช อ.บางบัวทอง จ.นนทบุรี 11110,13.912736,100.408915,PTT,"
            100.408915,13.912736,0
          "
ปตท บจ.พันธ์เจริญกรุ๊ป (2),"Name-EN: PTT Puncharoen Group (2)<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 100 ม.3 ต.ลำไทร อ.วังน้อย จ.พระนครศรีอยุธยา 13170<br>Latitude: 14.20416204633903<br>Longitude: 100.661751482521<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Puncharoen Group (2),120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,100 ม.3 ต.ลำไทร อ.วังน้อย จ.พระนครศรีอยุธยา 13170,14.20416204633903,100.661751482521,PTT,"
            100.661751482521,14.204162046339,0
          "
ปตท หจก.เค.ที.ทุ่งคาปิโตรเลียม,Name-EN: PTT K.T.Thungka Petroleum<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2 (1000V 200A)<br>Address: 68 ม.6 ถ.สายเอเชีย ต.ทุ่งคา อ.เมืองชุมพร ชุมพร 86100<br>Latitude: 10.4223285<br>Longitude: 99.13082355<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT K.T.Thungka Petroleum,120 kW,ChargeCore NKR-ADC: 2x CCS2 (1000V 200A),,,68 ม.6 ถ.สายเอเชีย ต.ทุ่งคา อ.เมืองชุมพร ชุมพร 86100,10.4223285,99.13082355,PTT,"
            99.13082355,10.4223285,0
          "
ปตท บจ.ดับเบิ้ล นายน์ สเตชั่น,"Name-EN: PTT Double Nine Station<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 444 หมู่ที่ 1 ต.ท่าสาย อ.เมืองเชียงราย จ.เชียงราย 57000<br>Latitude: 19.879667<br>Longitude: 99.850592<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Double Nine Station,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,444 หมู่ที่ 1 ต.ท่าสาย อ.เมืองเชียงราย จ.เชียงราย 57000,19.879667,99.850592,PTT,"
            99.850592,19.879667,0
          "
ปตท บจ.กฤติพรปิโตรเลียม,Name-EN: PTT Kritiporn Petroleum<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 219 ม.7 ต.โพนทอง อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000<br>Latitude: 16.4602<br>Longitude: 103.54587<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Kritiporn Petroleum,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),,,219 ม.7 ต.โพนทอง อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000,16.4602,103.54587,PTT,"
            103.54587,16.4602,0
          "
โออาร์-สเปซ ถ.พหลโยธิน กม.56.5,"Name-EN: OR Space Phaholyothin Km.56.5<br>Power: 120 kW<br>Description: IOCharger IOCAW05C 7kW: Type 2<br>IOCharger IOCAP06C 22kW: 2x Type 2<br>ChargeCore NKR-ADC: 2x CCS2, Type 2 (1000V 200A)<br>Address: 55/5 หมู่ 2 ถนนพหลโยธิน ตำบลลำไทร อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา 13170<br>Latitude: 14.195169<br>Longitude: 100.645326<br>Provider: PTT",#icon-1899-DB4436-labelson,OR Space Phaholyothin Km.56.5,120 kW,"IOCharger IOCAW05C 7kW: Type 2
IOCharger IOCAP06C 22kW: 2x Type 2
ChargeCore NKR-ADC: 2x CCS2, Type 2 (1000V 200A)",,,55/5 หมู่ 2 ถนนพหลโยธิน ตำบลลำไทร อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา 13170,14.195169,100.645326,PTT,"
            100.645326,14.195169,0
          "
ปตท หจก.พีอาร์ ปิโตรเลียม,"Name-EN: PTT PR Petroleum<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 403 ถ.มิตรภาพ-หนองคาย ต.ในเมือง อ.เมืองนครราชสีมา นครราชสีมา 30000<br>Latitude: 14.98977633<br>Longitude: 102.0963471<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT PR Petroleum,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,403 ถ.มิตรภาพ-หนองคาย ต.ในเมือง อ.เมืองนครราชสีมา นครราชสีมา 30000,14.98977633,102.0963471,PTT,"
            102.0963471,14.98977633,0
          "
ปตท ลาดปลาเค้า,"Name-EN: PTT Lat Pla Khao<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 480 ถนนลาดปลาเค้า แขวงจรเข้บัว เขตลาดพร้าว จ.กรุงเทพมหานคร 10230<br>Latitude: 13.8459600591251<br>Longitude: 100.602746895354<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Lat Pla Khao,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,480 ถนนลาดปลาเค้า แขวงจรเข้บัว เขตลาดพร้าว จ.กรุงเทพมหานคร 10230,13.8459600591251,100.602746895354,PTT,"
            100.602746895354,13.8459600591251,0
          "
ปตท สิงหนคร,"Name-EN: PTT Singhanakhon<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 80 หมู่ 4 ถนนเขาแดง-ระโนด ตำบลม่วงงาม อำเภอสิงหนคร สงขลา 90330<br>Latitude: 7.34681<br>Longitude: 100.4791676<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Singhanakhon,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,80 หมู่ 4 ถนนเขาแดง-ระโนด ตำบลม่วงงาม อำเภอสิงหนคร สงขลา 90330,7.34681,100.4791676,PTT,"
            100.4791676,7.34681,0
          "
เบนซ์ พระราม 3,"Name-EN: Benz Rama 3<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 487 ถนนพระราม3 แขวงบางโคล่ เขตบางคอแหลม กรงุเทพมหานคร 10120<br>Latitude: 13.6888463203418<br>Longitude: 100.515975127204<br>Provider: PTT",#icon-1899-DB4436-labelson,Benz Rama 3,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,487 ถนนพระราม3 แขวงบางโคล่ เขตบางคอแหลม กรงุเทพมหานคร 10120,13.6888463203418,100.515975127204,PTT,"
            100.515975127204,13.6888463203418,0
          "
บิ๊กซี ชัยภูมิ,"Name-EN: BigC Chaiyaphum<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 99 หมู่ 1 ตำบลบุ่งคล้า อำเภอเมืองชัยภูมิ ชัยภูมิ 36000<br>Latitude: 15.7774902<br>Longitude: 102.0256704<br>Provider: PTT",#icon-1899-DB4436-labelson,BigC Chaiyaphum,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,99 หมู่ 1 ตำบลบุ่งคล้า อำเภอเมืองชัยภูมิ ชัยภูมิ 36000,15.7774902,102.0256704,PTT,"
            102.0256704,15.7774902,0
          "
ปตท หจก.สว่างไสวเซอร์วิส,"Name-EN: PTT Sawangswai Service<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 168 ม.1 ถ.สุขุมวิท ต.แสนตุ้ง อ.เขาสมิง จ.ตราด 23150<br>Latitude: 12.37863<br>Longitude: 102.3784519<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Sawangswai Service,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,168 ม.1 ถ.สุขุมวิท ต.แสนตุ้ง อ.เขาสมิง จ.ตราด 23150,12.37863,102.3784519,PTT,"
            102.3784519,12.37863,0
          "
ปตท กบินทร์บุรี,"Name-EN: PTT Kabin Buri<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 53 ม.4 ต.เมืองเก่า อ.กบินทร์บุรี จ.ปราจีนบุรี 25240<br>Latitude: 14.017024092699563<br>Longitude: 101.77723726843668<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Kabin Buri,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,53 ม.4 ต.เมืองเก่า อ.กบินทร์บุรี จ.ปราจีนบุรี 25240,14.017024092699563,101.77723726843668,PTT,"
            101.777237268437,14.0170240926996,0
          "
ปตท บจ.เพชรพันปี,Name-EN: PTT Phet Panpee<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 57 ม.5 ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150<br>Latitude: 13.95459<br>Longitude: 100.68532<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Phet Panpee,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),,,57 ม.5 ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150,13.95459,100.68532,PTT,"
            100.68532,13.95459,0
          "
บิ๊กซี จันทบุรี,"Name-EN: BigC Chanthaburi<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 1012 ถนนท่าแฉลบ ตาบลตลาด อาเภอเมืองจันทบุรี จังหวัด จันทบุรี 22000<br>Latitude: 12.598282780399813<br>Longitude: 102.09914872416009<br>Provider: PTT",#icon-1899-DB4436-labelson,BigC Chanthaburi,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,1012 ถนนท่าแฉลบ ตาบลตลาด อาเภอเมืองจันทบุรี จังหวัด จันทบุรี 22000,12.598282780399813,102.09914872416009,PTT,"
            102.09914872416,12.5982827803998,0
          "
ปตท หจก.สว่างวัฒนะมาลัยแมน,"Name-EN: PTT Sawangwattana Malaiman<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 1 หมู่ 21 ถ.มาลัยเเมน ต.สระสี่มุม อ.กำแพงแสน นครปฐม 73140<br>Latitude: 14.0650719<br>Longitude: 99.9892816<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Sawangwattana Malaiman,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",,,1 หมู่ 21 ถ.มาลัยเเมน ต.สระสี่มุม อ.กำแพงแสน นครปฐม 73140,14.0650719,99.9892816,PTT,"
            99.9892816,14.0650719,0
          "
ปตท เอ็น.จี.วี. กม.5,Name-EN: PTT NGV Station NGV Km.5<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 77/1 หมู่ที่ 3 แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร 10510<br>Latitude: 13.8157066725787<br>Longitude: 100.761791085341<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT NGV Station NGV Km.5,120 kW,"ChargeCore CCSx2: 2x CCS2 (1000V 200A)
ChargeCore CCSx2: 2x CCS2 (1000V 200A)",,,77/1 หมู่ที่ 3 แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร 10510,13.8157066725787,100.761791085341,PTT,"
            100.761791085341,13.8157066725787,0
          "
ปตท หจก.ภัทรนันท์ ปิโตรเลียม,Name-EN: PTT Phattharanan Petroleum<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 299 ม.3 ต.แม่เหียะ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100<br>Latitude: 18.742497<br>Longitude: 98.937067<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Phattharanan Petroleum,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),,,299 ม.3 ต.แม่เหียะ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50100,18.742497,98.937067,PTT,"
            98.937067,18.742497,0
          "
